<shipment>.  (a box), - bunch of pieces,,,,,,,,,,,,,,,,,,,,,,,,
,XML Field,Type,CBS Storage,Classify Storage,Notes,,,,,,,,,,,,,,,,,,,,
,PARTY_OID_NBR,long,SHIPMENT_PARTY.OID_NBR,SHIPMENT_PARTY.PARTY_OID_NBR,PK,,,,,,,,,,,,,,,,,,,,
,OID_NBR,long,Not Stored,SHIPMENT_PARTY.OID_NBR,,,,,,,,,,,,,,,,,,,,,
,OID_TYPE_CD,string,Not Stored,SHIPMENT_PARTY.OID_TYPE_CD,,,,,,,,,,,,,,,,,,,,,
,SHIPMENT_PARTY_TYPE_CD,string,SHIPMENT_PARTY.SHIPMENT_PARTY_TYPE_CD,SHIPMENT_PARTY.SHIPMENT_PARTY_TYPE_CD,,,,,,,,,,,,,,,,,,,,,
,CLEARANCE_LOCATION_CD,string,SHIPMENT_PARTY.CLEARANCE_LOCATION_CD,SHIPMENT_PARTY.CLEARANCE_LOCATION_CD,,,,,,,,,,,,,,,,,,,,,
,ADDRESS_QTY,int,SHIPMENT_PARTY.ADDRESS_QTY,SHIPMENT_PARTY.ADDRESS_QTY,,,,,,,,,,,,,,,,,,,,,
,BROKER_ID_CD,string,SHIPMENT_PARTY.BROKER_ID_CD,SHIPMENT_PARTY.BROKER_ID_CD,,,,,,,,,,,,,,,,,,,,,
,CITY_NM,string,SHIPMENT_PARTY.CITY_NM,SHIPMENT_PARTY.CITY_NM,,,,,,,,,,,,,,,,,,,,,
,CONTACT_PHONE_NBR,string,SHIPMENT_PARTY.CONTACT_PHONE_NBR,SHIPMENT_PARTY.CONTACT_PHONE_NBR,,,,,,,,,,,,,,,,,,,,,
,COUNTRY_CD,string,SHIPMENT_PARTY.COUNTRY_CD,SHIPMENT_PARTY.COUNTRY_CD,,,,,,,,,,,,,,,,,,,,,
,COUNTRY_SUB_ENTITY_CD,string,SHIPMENT_PARTY.COUNTRY_SUB_ENTITY_CD,SHIPMENT_PARTY.COUNTRY_SUB_ENTITY_CD,,,,,,,,,,,,,,,,,,,,,
,CUSTOMER_ACCT_NBR,int,SHIPMENT_PARTY.CUSTOMER_ACCT_NBR,SHIPMENT_PARTY.CUSTOMER_ACCT_NBR,,,,,,,,,,,,,,,,,,,,,
,CUSTOMS_ID_CD,string,SHIPMENT_PARTY.CUSTOMS_ID_CD,SHIPMENT_PARTY.CUSTOMS_ID_CD,"Note logic in CBS to populate CustomsIdCode from RecipId locally, but CUSTOMS_ID_CD from XML is mapped.",,,,,,,,,,,,,,,,,,,,
,CUSTOMS_SELF_ASSESSMENT_FLG,string,SHIPMENT_PARTY.CUSTOMS_SELF_ASSESSMENT_FLG,SHIPMENT_PARTY.CUSTOMS_SELF_ASSESSMENT_FLG,,,,,,,,,,,,,,,,,,,,,
,COMPANY_NM,string,SHIPMENT_PARTY.COMPANY_NM,SHIPMENT_PARTY.COMPANY_NM,,,,,,,,,,,,,,,,,,,,,
,CONTACT_NM,string,SHIPMENT_PARTY.CONTACT_NM,SHIPMENT_PARTY.CONTACT_NM,,,,,,,,,,,,,,,,,,,,,
,EMAIL_NM,string,SHIPMENT_PARTY.EMAIL_NM,SHIPMENT_PARTY.EMAIL_NM,,,,,,,,,,,,,,,,,,,,,
,LAST_MODIFIED_NM,string,SHIPMENT_PARTY.LAST_MODIFIED_NM,Not Stored,,,,,,,,,,,,,,,,,,,,,
,LAST_MODIFIED_TMSTP,dateTime,SHIPMENT_PARTY.LAST_MODIFIED_TMSTP,Not Stored,,,,,,,,,,,,,,,,,,,,,
,POSTAL_CD,string,SHIPMENT_PARTY.POSTAL_CD,SHIPMENT_PARTY.POSTAL_CD,,,,,,,,,,,,,,,,,,,,,
,STATE_CD,string,SHIPMENT_PARTY.STATE_CD,SHIPMENT_PARTY.STATE_CD,,,,,,,,,,,,,,,,,,,,,
,,dateTime,,Not Stored,,,,,,,,,,,,,,,,,,,,,
,SHIPMENT_TYPE_CD,int,,Not Stored,,,,,,,,,,,,,,,,,,,,,
,ADDRESS_1,string,,SHIPMENT_PARTY.ADDRESS_1,,,,,,,,,,,,,,,,,,,,,
,ADDRESS_2,string,,SHIPMENT_PARTY.ADDRESS_2,,,,,,,,,,,,,,,,,,,,,
,ADDRESS_3,string,,SHIPMENT_PARTY.ADDRESS_3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
<commodities> things in box,,,,,,,,,,,,,,,,,,,,,,,,,
,XML Field,Type,CBS Storage,Classify Storage,Notes,,,,,,,,,,,,,,,,,,,,
,LOCAL_SHIPMENT_OID_NBR,long,CORPORATE_SHIPMENT_COMMODITY.SHIPMENT_OID_NBR,SHIPMENT_COMMODITY.LOCAL_SHIPMENT_OID_NBR,FK,,,,,,,,,,,,,,,,,,,,
,SEQUENCE_NBR,int,CORPORATE_SHIPMENT_COMMODITY.SEQUENCE_NBR,Not directly mapped?,Classify uses List index/iteration,,,,,,,,,,,,,,,,,,,,
,CLEARANCE_COUNTRY_CD,string,CORPORATE_SHIPMENT_COMMODITY.CLEARANCE_COUNTRY_CD,Not Stored,,,,,,,,,,,,,,,,,,,,,
,COMMODITY_DESC,string,CORPORATE_SHIPMENT_COMMODITY.COMMODITY_DESC,SHIPMENT_COMMODITY.COMMODITY_DESC,,,,,,,,,,,,,,,,,,,,,
,COMMODITY_WGT,double,CORPORATE_SHIPMENT_COMMODITY.COMMODITY_WGT,SHIPMENT_COMMODITY.COMMODITY_WGT,,,,,,,,,,,,,,,,,,,,,
,COMMODITY_WGT_UOM_CD,string,CORPORATE_SHIPMENT_COMMODITY.COMMODITY_WGT_UOM_CD,SHIPMENT_COMMODITY.COMMODITY_WGT_UOM_CD,,,,,,,,,,,,,,,,,,,,,
,CUSTOMS_VALUE_AMT,double,CORPORATE_SHIPMENT_COMMODITY.CUSTOMS_VALUE_AMT,SHIPMENT_COMMODITY.CUSTOMS_VALUE_AMT,,,,,,,,,,,,,,,,,,,,,
,EXPORT_CARGO_CONTROL_NBR,string,CORPORATE_SHIPMENT_COMMODITY.EXPORT_CARGO_CONTROL_NBR,SHIPMENT_COMMODITY.EXPORT_CARGO_CONTROL_NBR,,,,,,,,,,,,,,,,,,,,,
,EXPORT_LICENSE_EXPR_DT,date,CORPORATE_SHIPMENT_COMMODITY.EXPORT_LICENSE_EXPR_DT,SHIPMENT_COMMODITY.EXPORT_LICENSE_EXPR_DT,,,,,,,,,,,,,,,,,,,,,
,EXPORT_LICENSE_NBR,string,CORPORATE_SHIPMENT_COMMODITY.EXPORT_LICENSE_NBR,SHIPMENT_COMMODITY.EXPORT_LICENSE_NBR,,,,,,,,,,,,,,,,,,,,,
,HARMONIZED_TARIFF_NBR,string,CORPORATE_SHIPMENT_COMMODITY.HARMONIZED_TARIFF_NBR,SHIPMENT_COMMODITY.HARMONIZED_TARIFF_NBR,HS Code,,,,,,,,,,,,,,,,,,,,
,HAZARDOUS_MATERIAL_CD,string,CORPORATE_SHIPMENT_COMMODITY.HAZARDOUS_MATERIAL_CD,Not Stored,,,,,,,,,,,,,,,,,,,,,
,LAST_MODIFIED_NM,string,CORPORATE_SHIPMENT_COMMODITY.LAST_MODIFIED_NM,Not Stored,,,,,,,,,,,,,,,,,,,,,
,LAST_MODIFIED_TMSTP,dateTime,CORPORATE_SHIPMENT_COMMODITY.LAST_MODIFIED_TMSTP,Not Stored,,,,,,,,,,,,,,,,,,,,,
,ORIGIN_COUNTRY_CD,string,CORPORATE_SHIPMENT_COMMODITY.ORIGIN_COUNTRY_CD,SHIPMENT_COMMODITY.ORIGIN_COUNTRY_CD,,,,,,,,,,,,,,,,,,,,,
,OVERSIZE_FLG,string,CORPORATE_SHIPMENT_COMMODITY.OVERSIZE_FLG,SHIPMENT_COMMODITY.OVERSIZE_FLG,,,,,,,,,,,,,,,,,,,,,
,PIECE_QTY,int,CORPORATE_SHIPMENT_COMMODITY.PIECE_QTY,SHIPMENT_COMMODITY.PIECE_QTY,,,,,,,,,,,,,,,,,,,,,
,PACKAGE_QTY,int,CORPORATE_SHIPMENT_COMMODITY.PACKAGE_QTY,SHIPMENT_COMMODITY.PACKAGE_QTY,,,,,,,,,,,,,,,,,,,,,
,TARIFF_SOURCE_CD,string,CORPORATE_SHIPMENT_COMMODITY.TARIFF_SOURCE_CD,Not Stored,,,,,,,,,,,,,,,,,,,,,
,ETL_TMSTP,dateTime,Not Stored,Not Stored,,,,,,,,,,,,,,,,,,,,,
,SHIPMENT_TYPE_CD,int,Not Stored,Not Stored,,,,,,,,,,,,,,,,,,,,,
,PACKAGING_TYPE_CD,string,CORPORATE_SHIPMENT_COMMODITY.PACKAGING_TYPE_CD,Not Stored,,,,,,,,,,,,,,,,,,,,,
,COMMODITY_OID_NBR,long,CORPORATE_SHIPMENT_COMMODITY.OID_NBR,Not Stored,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
<virtualRouteLegs> flights etc (just store),,,,,,,,,,,,,,,,,,,,,,,,,
,XML Field,Type,CBS Storage,Classify Storage,Notes,,,,,,,,,,,,,,,,,,,,
,VIRTUAL_ROUTE_NBR,string,VIRTUAL_ROUTE_LEG.VIRTUAL_ROUTE_NBR,VIRTUAL_ROUTE_LEG.VIRTUAL_ROUTE_NBR,,,,,,,,,,,,,,,,,,,,,
,VIRTUAL_ROUTE_DT,date,VIRTUAL_ROUTE_LEG.VIRTUAL_ROUTE_DT,VIRTUAL_ROUTE_LEG.VIRTUAL_ROUTE_DT,,,,,,,,,,,,,,,,,,,,,
,LEG_DEST_LOC_CD,string,VRTL_RTE_LEG.LEG_DEST_LOC_CD,VIRTUAL_ROUTE_LEG.LEG_DEST_LOC_CD,,,,,,,,,,,,,,,,,,,,,
,LEG_ORIG_LOC_CD,string,VRTL_RTE_LEG.LEG_ORIG_LOC_CD,VIRTUAL_ROUTE_LEG.LEG_ORIG_LOC_CD,,,,,,,,,,,,,,,,,,,,,
,ARRIVAL_GMT_TMSTP,dateTime,VRTL_RTE_LEG.ARRIVAL_GMT_TMSTP,VIRTUAL_ROUTE_LEG.ARRIVAL_GMT_TMSTP,,,,,,,,,,,,,,,,,,,,,
,ARRIVAL_LOCAL_TMSTP,dateTime,VRTL_RTE_LEG.ARRIVAL_LOCAL_TMSTP,VIRTUAL_ROUTE_LEG.ARRIVAL_LOCAL_TMSTP,,,,,,,,,,,,,,,,,,,,,
,BROKER_COMPLETE_FLG,string,VRTL_RTE_LEG.BROKER_COMPLETE_FLG,VIRTUAL_ROUTE_LEG.BROKER_COMPLETE_FLG,,,,,,,,,,,,,,,,,,,,,
,CONVEYANCE_TYPE_CD,string,VRTL_RTE_LEG.CONVEYANCE_TYPE_CD,Not Stored,,,,,,,,,,,,,,,,,,,,,
,CUSTOMS_COMPLETE_FLG,string,VRTL_RTE_LEG.CUSTOMS_COMPLETE_FLG,VIRTUAL_ROUTE_LEG.CUSTOMS_COMPLETE_FLG,,,,,,,,,,,,,,,,,,,,,
,DEPART_GMT_TMSTP,dateTime,VRTL_RTE_LEG.DEPART_GMT_TMSTP,VIRTUAL_ROUTE_LEG.DEPART_GMT_TMSTP,,,,,,,,,,,,,,,,,,,,,
,DEPART_LOCAL_TMSTP,dateTime,VRTL_RTE_LEG.DEPART_LOCAL_TMSTP,VIRTUAL_ROUTE_LEG.DEPART_LOCAL_TMSTP,,,,,,,,,,,,,,,,,,,,,
,LEG_ORIGIN_COUNTRY_CD,string,VRTL_RTE_LEG.LEG_ORIGIN_COUNTRY_CD,VIRTUAL_ROUTE_LEG.LEG_ORIGIN_COUNTRY_CD,,,,,,,,,,,,,,,,,,,,,
,LEG_DEST_COUNTRY_CD,string,VRTL_RTE_LEG.LEG_DEST_COUNTRY_CD,VIRTUAL_ROUTE_LEG.LEG_DEST_COUNTRY_CD,,,,,,,,,,,,,,,,,,,,,
,SCHED_ARRIVAL_DT,date,VRTL_RTE_LEG.SCHED_ARRIVAL_DT,VIRTUAL_ROUTE_LEG.SCHED_ARRIVAL_DT,,,,,,,,,,,,,,,,,,,,,
,SCHED_ROUTE_LEG_ORIG_LOC_CD,string,VRTL_RTE_LEG.SCHED_ROUTE_LEG_ORIG_LOC_CD,VIRTUAL_ROUTE_LEG.SCHED_ROUTE_LEG_ORIG_LOC_CD,,,,,,,,,,,,,,,,,,,,,
,SCHED_ROUTE_LEG_DEST_LOC_CD,string,VRTL_RTE_LEG.SCHED_ROUTE_LEG_DEST_LOC_CD,VIRTUAL_ROUTE_LEG.SCHED_ROUTE_LEG_DEST_LOC_CD,,,,,,,,,,,,,,,,,,,,,
,SCHED_ROUTE_DEPARTURE_DT,date,VRTL_RTE_LEG.SCHED_DEPARTURE_DT,VIRTUAL_ROUTE_LEG.SCHED_ROUTE_DEPARTURE_DT,,,,,,,,,,,,,,,,,,,,,
,SCHED_ROUTE_LEG_DPTR_DT,date,VRTL_RTE_LEG.SCHED_ROUTE_LEG_DPTR_DT,VIRTUAL_ROUTE_LEG.SCHED_ROUTE_LEG_DPTR_DT,,,,,,,,,,,,,,,,,,,,,
,SCHED_ROUTE_NBR,string,VRTL_RTE_LEG.SCHED_ROUTE_NBR,VIRTUAL_ROUTE_LEG.SCHED_ROUTE_NBR,,,,,,,,,,,,,,,,,,,,,
,SORT_DT,date,VRTL_RTE_LEG.SORT_DT,VIRTUAL_ROUTE_LEG.SORT_DT,,,,,,,,,,,,,,,,,,,,,
,TAIL_NBR,string,VRTL_RTE_LEG.TAIL_NBR,VIRTUAL_ROUTE_LEG.TAIL_NBR,,,,,,,,,,,,,,,,,,,,,
,VIRTUAL_ROUTE_LEG_NBR,int,VRTL_RTE_LEG.VIRTUAL_ROUTE_LEG_NBR,VIRTUAL_ROUTE_LEG.VIRTUAL_ROUTE_LEG_NBR,,,,,,,,,,,,,,,,,,,,,
,VIRTUAL_ROUTE_LOCKED_FLG,string,VRTL_RTE_LEG.VIRTUAL_ROUTE_LOCKED_FLG,VIRTUAL_ROUTE_LEG.VIRTUAL_ROUTE_LOCKED_FLG,,,,,,,,,,,,,,,,,,,,,
,FLIGHT_NBR_OBS,string,,Not Stored,,,,,,,,,,,,,,,,,,,,,
,DOWNLOAD_FLG,string,,VIRTUAL_ROUTE_LEG.DOWNLOAD_FLG,,,,,,,,,,,,,,,,,,,,,
,CARRIER_CD,string,,VIRTUAL_ROUTE_LEG.CARRIER_CD,,,,,,,,,,,,,,,,,,,,,
,ETL_TMSTP,dateTime,,Not Stored,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"<shipmentCurrency> currency conversion, per country/CA",,,,,,,,,,,,,,,,,,,,,,,,,
,XML Field,Type,CBS Storage,Classify Storage,Notes,,,,,,,,,,,,,,,,,,,,
,LOCAL_SHIPMENT_OID_NBR,long,Not Stored,SHIPMENT.LOCAL_SHIPMENT_OID_NBR,,,,,,,,,,,,,,,,,,,,,
,CONVERSION_BASIS_COUNTRY_CD,string,CORPORATE_SHIPMENT.CONVERSION_BASIS_COUNTRY_CD,SHIPMENT (Logic),Used to determine currency conversion logic.,,,,,,,,,,,,,,,,,,,,
,CONVERSION_TABLE_COUNTRY_CD,string,CORPORATE_SHIPMENT.CONVERSION_TABLE_COUNTRY_CD,SHIPMENT (Logic),,,,,,,,,,,,,,,,,,,,,
,IATA_CURRENCY_CD,string,CORPORATE_SHIPMENT fields,SHIPMENT fields,"Used to populate LOCAL_CUSTOMS_CURRENCY_CD, DEST_CUSTOMS_CURRENCY_CD etc.",,,,,,,,,,,,,,,,,,,,
,ISO_CURRENCY_CD,string,CORPORATE_SHIPMENT fields,SHIPMENT fields,,,,,,,,,,,,,,,,,,,,,
,SHIP_DT_CURRENCY_VALUE_AMT,double,CORPORATE_SHIPMENT fields,SHIPMENT.LOCAL_CUSTOMS_VALUE_AMT,Converted/Mapped value.,,,,,,,,,,,,,,,,,,,,
,SHIP_DT_CURRENCY_DT,date,CORPORATE_SHIPMENT fields,SHIPMENT.SHIP_DT (Logic),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,XML Field,Type,CBS Storage,Classify Storage,Notes,,,,,,,,,,,,,,,,,,,,
,OID_NBR,long,CORPORATE_SPECIAL_HANDLING.OID_NBR,SPECIAL_HANDLING.OID_NBR,PK/FK,,,,,,,,,,,,,,,,,,,,
,OID_TYPE_CD,string,CORPORATE_SPECIAL_HANDLING.OID_TYPE_CD,SPECIAL_HANDLING.OID_TYPE_CD,,,,,,,,,,,,,,,,,,,,,
,SPECIAL_HANDLING_CD,string,CORPORATE_SPECIAL_HANDLING.SPECIAL_HANDLING_CD,SPECIAL_HANDLING.SPECIAL_HANDLING_CD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
<extraData>,,,,,,,,,,,,,,,,,,,,,,,,,
,XML Field (Key),Type,CBS Storage,Classify Storage,Notes,,,,,,,,,,,,,,,,,,,,
,MsrShipmentOidNbr,string,UID_XREF.UID_NUMBER,,Mapped in CBS translateMdeCorporateUidXref.,,,,,,,,,,,,,,,,,,,,
,AdmissibilityModeNm,string,SHIPMENT.ADMISSIBILITY_MODE,SHIPMENT.ADMISSIBILITY_MODE,,,,,,,,,,,,,,,,,,,,,
,PrevAdmissibilityModeNm,string,Not Stored,SHIPMENT.PREV_ADMISSIBILITY_MODE,,,,,,,,,,,,,,,,,,,,,
,CargoControlNbr,string,SHIPMENT.CARGOCONTROLNBR,SHIPMENT.CARGOCONTROLNBR,,,,,,,,,,,,,,,,,,,,,
,PortOfExitNm,string,Not Stored,SHIPMENT.PORTOFEXIT,,,,,,,,,,,,,,,,,,,,,
,WarehouseCd,string,Not Stored,SHIPMENT.WAREHOUSECODE,,,,,,,,,,,,,,,,,,,,,
,PortOfEntryNm,string,Not Stored,SHIPMENT.PORTOFENTRY,,,,,,,,,,,,,,,,,,,,,
,SurfaceIntlShipmentNbr,string,Not Stored,SHIPMENT.SURFACE_INTL_SHIPMENT_NBR,,,,,,,,,,,,,,,,,,,,,
,MdeTypeService,string,SHIPMENT.SERVICE_CD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
